STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT
,030204,0000,AA0006589639,교육/보건,보건시설,한의원,,,가온자리한의원,,,,207529.155834,448079.815087,,,,,
,030205,0100,AA0006596568,교육/보건,보건시설,기타보건시설,약국,미분류,대흥당약국,,,,204191.841619,453156.082971,,,,,
,070308,0600,AA0006782411,산업,서비스산업,언론/미디어,음반/비디오,,팝스디브이디,,,,207161.802850,445671.904828,,,,,
,070301,0403,AA0006926344,산업,서비스산업,종합상품판매업,시장,일반시장,마포농수산물시장,,,,191030.249265,451744.527029,,,,,
,070301,0503,AA0006501460,산업,서비스산업,종합상품판매업,편의점,CU,씨유,,,,193999.814460,440934.174381,,,,,
,030204,0000,AA0006559755,교육/보건,보건시설,한의원,,,김영훈한의원,,,,211033.501745,448090.442498,,,,,
,030204,0000,AA0006564713,교육/보건,보건시설,한의원,,,우아미한의원,,,,201322.296460,444015.238364,,,,,
,030205,0100,AA0006597015,교육/보건,보건시설,기타보건시설,약국,미분류,동인약국,,,,196937.904073,441318.914645,,,,,
,030205,0100,AA0006603738,교육/보건,보건시설,기타보건시설,약국,미분류,우리들약국,,,,188575.707753,449414.592519,,,,,
,070308,0600,AA0006783602,산업,서비스산업,언론/미디어,음반/비디오,,석비디오,,,,198827.762512,450895.667605,,,,,
,070308,0800,AA0006789863,산업,서비스산업,언론/미디어,기타언론/미디어,,트윈픽쳐스,,,,208640.277139,444940.465849,,,,,
,070308,0800,AA0006790712,산업,서비스산업,언론/미디어,기타언론/미디어,,구혜선필름,,,,201285.825664,448618.846870,,,,,
,030201,0000,AA0006523797,교육/보건,보건시설,병/의원,미분류,,동산의원,,,,201224.134172,461896.717309,,,,,
,030204,0000,AA0006560221,교육/보건,보건시설,한의원,,,닥터정한의원,,,,201789.846388,446205.579654,,,,,
,030204,0000,AA0006564168,교육/보건,보건시설,한의원,,,연세한의원,,,,198384.927968,442927.218545,,,,,
