,name,longitude_x,latitude_x,latitude_y,longitude_y,sido,gu,dong
0,종로2가사거리,126.9877498816,37.56976512510001,37.56976512510001,126.9877498816,서울특별시,종로구,종로1.2.3.4가동
1,창경궁.서울대학교병원,126.9965660023,37.5791830159,37.5791830159,126.9965660023,서울특별시,종로구,종로1.2.3.4가동
2,명륜3가.성대입구,126.9983401004,37.5826711749,37.5826711749,126.9983401004,서울특별시,종로구,혜화동
3,종로2가.삼일교,126.9876130976,37.5685792736,37.5685792736,126.9876130976,서울특별시,종로구,종로1.2.3.4가동
4,혜화동로터리,127.001744,37.586243,37.586243,127.001744,서울특별시,종로구,혜화동
5,서대문역사거리,126.966893,37.566137,37.566137,126.966893,서울특별시,종로구,교남동
6,서울역사박물관.경희궁앞,126.97038,37.569135,37.569135,126.97038,서울특별시,종로구,사직동
7,서울역사박물관.경희궁앞,126.970609,37.569412,37.569412,126.970609,서울특별시,종로구,사직동
8,광화문,126.9752507511,37.570135474,37.570135474,126.9752507511,서울특별시,종로구,사직동
9,광화문,126.978085488,37.570216807,37.570216807,126.978085488,서울특별시,종로구,종로1.2.3.4가동
10,종로1가,126.9809105247,37.5701184824,37.5701184824,126.9809105247,서울특별시,종로구,종로1.2.3.4가동
11,종로1가,126.9813906402,37.5702290311,37.5702290311,126.9813906402,서울특별시,종로구,종로1.2.3.4가동
12,종로2가,126.9855426998,37.5701386788,37.5701386788,126.9855426998,서울특별시,종로구,종로1.2.3.4가동
13,종로2가,126.9862474502,37.5702571998,37.5702571998,126.9862474502,서울특별시,종로구,종로1.2.3.4가동
14,종로3가.탑골공원,126.9895646721,37.5702449756,37.5702449756,126.9895646721,서울특별시,종로구,종로1.2.3.4가동
15,종로3가.탑골공원,126.9899877751,37.5703605443,37.5703605443,126.9899877751,서울특별시,종로구,종로1.2.3.4가동
16,종로4가.종묘,126.9947218896,37.5705069968,37.5705069968,126.9947218896,서울특별시,종로구,종로1.2.3.4가동
17,종로4가.종묘,126.9952838124,37.5706271118,37.5706271118,126.9952838124,서울특별시,종로구,종로1.2.3.4가동
18,종로5가.광장시장,126.9988498093,37.570756793,37.570756793,126.9988498093,서울특별시,종로구,종로1.2.3.4가동
19,종로5가.광장시장,126.9993346185,37.5708806279,37.5708806279,126.9993346185,서울특별시,종로구,종로1.2.3.4가동
20,종로6가.동대문종합시장,127.0034638793,37.5709624756,37.5709624756,127.0034638793,서울특별시,종로구,종로5.6가동
21,종로6가.동대문종합시장,127.0057137364,37.5711272339,37.5711272339,127.0057137364,서울특별시,종로구,종로5.6가동
22,동대문역.흥인지문,127.0134512388,37.5723023219,37.5723023219,127.0134512388,서울특별시,종로구,창신1동
23,동대문(흥인지문),127.0120461121,37.5719529259,37.5719529259,127.0120461121,서울특별시,종로구,창신1동
24,동묘앞,127.0184514373,37.5737255179,37.5737255179,127.0184514373,서울특별시,종로구,숭인2동
25,동묘앞,127.0196720085,37.5742434484,37.5742434484,127.0196720085,서울특별시,종로구,숭인2동
26,경기상고,126.9693634554,37.5875502159,37.5875502159,126.9693634554,서울특별시,종로구,청운효자동
27,신교동,126.9702653687,37.5832657654,37.5832657654,126.9702653687,서울특별시,종로구,청운효자동
28,경기상고,126.9697701102,37.5871907861,37.5871907861,126.9697701102,서울특별시,종로구,청운효자동
29,경복고교,126.9710436571,37.58511319300001,37.58511319300001,126.9710436571,서울특별시,종로구,청운효자동
30,청운중학교,126.9725135095,37.5878519552,37.5878519552,126.9725135095,서울특별시,종로구,청운효자동
31,자하문고개.윤동주문학관,126.9671261805,37.5921866176,37.5921866176,126.9671261805,서울특별시,종로구,청운효자동
32,자하문고개.윤동주문학관,126.9671906625,37.5923353152,37.5923353152,126.9671906625,서울특별시,종로구,청운효자동
33,청운중학교,126.9724613198,37.5881285775,37.5881285775,126.9724613198,서울특별시,종로구,청운효자동
34,경복고교,126.9711546793,37.5849663426,37.5849663426,126.9711546793,서울특별시,종로구,청운효자동
35,통인시장종로구보건소,126.9710500404,37.5803257033,37.5803257033,126.9710500404,서울특별시,종로구,청운효자동
36,통인시장종로구보건소,126.9713851083,37.5805132118,37.5805132118,126.9713851083,서울특별시,종로구,청운효자동
37,효자동,126.9706209712,37.583091043,37.583091043,126.9706209712,서울특별시,종로구,청운효자동
38,사직단,126.9679907155,37.5751355316,37.5751355316,126.9679907155,서울특별시,종로구,사직동
39,사직동주민센터,126.9713244962,37.5761834563,37.5761834563,126.9713244962,서울특별시,종로구,사직동
40,경복궁역,126.97219601,37.5768666917,37.5768666917,126.97219601,서울특별시,종로구,사직동
41,경복궁역,126.9722828893,37.5776713863,37.5776713863,126.9722828893,서울특별시,종로구,사직동
42,경복궁,126.9787471496,37.5755767894,37.5755767894,126.9787471496,서울특별시,종로구,종로1.2.3.4가동
43,KT광화문지사,126.9773193291,37.5724064843,37.5724064843,126.9773193291,서울특별시,종로구,종로1.2.3.4가동
44,광화문,126.9763838838,37.56984539800001,37.56984539800001,126.9763838838,서울특별시,종로구,사직동
45,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,37.570023,126.971248,서울특별시,종로구,사직동
46,광화문,126.975837,37.570365,37.570365,126.975837,서울특별시,종로구,사직동
47,세종문화회관,126.9765652658,37.5726577416,37.5726577416,126.9765652658,서울특별시,종로구,사직동
48,서울지방경찰청.경복궁역,126.9714842989,37.5757446636,37.5757446636,126.9714842989,서울특별시,종로구,사직동
49,사직단,126.968188961,37.5748553458,37.5748553458,126.968188961,서울특별시,종로구,사직동
50,광화문광화문빌딩,126.9765458935,37.569450752,37.569450752,126.9765458935,서울특별시,종로구,사직동
51,덕성여중고,126.9819692323,37.5757260055,37.5757260055,126.9819692323,서울특별시,종로구,삼청동
52,안국역.종로경찰서.인사동,126.9840715924,37.5760056461,37.5760056461,126.9840715924,서울특별시,종로구,삼청동
53,국민은행세검정지점,126.9608880061,37.6046629766,37.6046629766,126.9608880061,서울특별시,종로구,부암동
54,세검정초등학교,126.9612198463,37.60250227989999,37.60250227989999,126.9612198463,서울특별시,종로구,부암동
55,세검정.상명대,126.9587223861,37.6007325989,37.6007325989,126.9587223861,서울특별시,종로구,부암동
56,상명대입구,126.958570225,37.5994133537,37.5994133537,126.958570225,서울특별시,종로구,부암동
57,하림각,126.9617068235,37.5981330665,37.5981330665,126.9617068235,서울특별시,종로구,부암동
58,자하문터널입구.석파정,126.9636434993,37.5955935123,37.5955935123,126.9636434993,서울특별시,종로구,부암동
59,부암동주민센터.무계원,126.9639574356,37.5927380599,37.5927380599,126.9639574356,서울특별시,종로구,부암동
