,latitude,longitude,sido,gu,dong
0,37.6342817,126.9270106,서울특별시,은평구,진관동
1,37.4740854,126.881499,서울특별시,금천구,가산동
2,37.6078214,127.097964,서울특별시,중랑구,신내1동
3,37.6106126,127.1013167,서울특별시,중랑구,망우본동
4,37.5595476,127.1820557,경기도,하남시,미사1동
5,37.5669082,126.9831408,서울특별시,중구,명동
6,37.5126896,126.9507437,서울특별시,동작구,노량진1동
7,37.5182651,127.0745888,서울특별시,송파구,잠실2동
8,37.5765504,126.8902985,서울특별시,마포구,상암동
9,37.5673426,126.9846183,서울특별시,중구,명동
10,37.6137146,127.0980589,서울특별시,중랑구,신내1동
11,37.6132008,127.0999961,서울특별시,중랑구,신내1동
12,37.6129559,127.0998753,서울특별시,중랑구,신내1동
13,37.5659576,127.1774701,서울특별시,강동구,강일동
14,37.507417,126.8631608,서울특별시,구로구,고척2동
15,37.5096793,126.9239831,서울특별시,영등포구,신길7동
16,37.5667887,126.9843833,서울특별시,중구,명동
17,37.5671075,126.9835014,서울특별시,중구,명동
18,37.5669168,126.9829238,서울특별시,중구,명동
19,37.6877296,127.0538246,서울특별시,노원구,상계1동
20,37.5663749,127.1792511,서울특별시,강동구,강일동
21,37.5339882,126.8696818,서울특별시,양천구,목4동
22,37.566778,126.9856973,서울특별시,중구,명동
23,37.5046848,127.0491557,서울특별시,강남구,삼성2동
24,37.5747639,127.0373185,서울특별시,동대문구,용신동
25,37.6393887,127.0279141,서울특별시,강북구,번1동
26,37.4834944,126.9971124,서울특별시,서초구,방배1동
27,37.6131476,127.0997586,서울특별시,중랑구,신내1동
28,37.5808727,127.0851193,서울특별시,중랑구,면목7동
29,37.5673915,126.9857081,서울특별시,중구,명동
30,37.4850512,126.8944901,서울특별시,구로구,구로3동
31,37.4507428,126.9058954,서울특별시,금천구,시흥5동
32,37.4752088,126.8988393,서울특별시,금천구,독산3동
33,37.5668684,126.9857946,서울특별시,중구,명동
34,37.5377758,126.828088,서울특별시,양천구,신월5동
35,37.4849113,126.8201874,서울특별시,구로구,오류2동
36,37.5032499,126.8858059,서울특별시,구로구,구로5동
37,37.484924,126.820311,서울특별시,구로구,오류2동
38,37.6278458,126.9354446,서울특별시,은평구,진관동
39,37.4852765,126.8194752,서울특별시,구로구,오류2동
40,37.560308,126.8414955,서울특별시,강서구,등촌3동
41,37.6283217,126.9341524,서울특별시,은평구,진관동
42,37.5813771,126.9045914,서울특별시,은평구,증산동
43,37.5680914,127.0078775,서울특별시,중구,광희동
44,37.6203593,126.932008,서울특별시,은평구,불광1동
45,37.6205353,126.9246176,서울특별시,은평구,불광2동
46,37.6205556,126.9192613,서울특별시,은평구,갈현1동
47,37.5049714,126.9461758,서울특별시,동작구,상도2동
48,37.6104249,127.096298,서울특별시,중랑구,신내1동
49,37.6594812,127.0248773,서울특별시,도봉구,방학3동
50,37.6529086,127.0708896,서울특별시,노원구,상계2동
51,37.5265893,126.8614194,서울특별시,양천구,신정4동
52,37.5391717,127.0984585,서울특별시,광진구,구의3동
53,37.5755763,127.0882309,서울특별시,중랑구,면목7동
54,37.5717646,127.0860346,서울특별시,중랑구,면목4동
55,37.5716737,127.0862785,서울특별시,중랑구,면목4동
56,37.5608955,126.8169224,서울특별시,강서구,공항동
57,37.5012967,126.8905804,서울특별시,구로구,구로5동
58,37.4819212,126.838125,서울특별시,구로구,오류2동
59,37.5751889,127.087925,서울특별시,중랑구,면목4동
60,37.4945031,127.0167622,서울특별시,서초구,서초1동
61,37.4916224,127.0729512,서울특별시,강남구,개포2동
62,37.565286,126.9675114,서울특별시,중구,소공동
63,37.6555559,127.0615313,서울특별시,노원구,상계2동
64,37.5751537,126.9805564,서울특별시,종로구,종로1.2.3.4가동
65,37.6645057,127.043573,서울특별시,도봉구,방학1동
66,37.5659381,126.9678005,서울특별시,중구,소공동
67,37.5528198,127.024026,서울특별시,성동구,금호2.3가동
68,37.5967241,126.9082002,서울특별시,은평구,신사1동
69,37.488775,127.1460676,서울특별시,송파구,거여2동
70,37.5419726,127.0018883,서울특별시,용산구,한남동
71,37.5389154,127.0018587,서울특별시,용산구,한남동
72,37.4648556,127.0414785,서울특별시,서초구,양재2동
73,37.5302715,127.1281047,서울특별시,강동구,성내1동
74,37.4881278,126.8697832,경기도,광명시,철산2동
75,37.4848893,126.8711092,경기도,광명시,철산2동
76,37.5656917,127.0083532,서울특별시,중구,광희동
77,37.6201669,126.9161341,서울특별시,은평구,갈현1동
78,37.485995,126.8382508,서울특별시,구로구,오류2동
79,37.5801008,127.0762444,서울특별시,동대문구,장안2동
80,37.5566244,126.9834377,서울특별시,중구,명동
81,37.5566402,126.9833111,서울특별시,중구,명동
82,37.5566477,126.9832534,서울특별시,중구,명동
83,37.5566528,126.9832059,서울특별시,중구,명동
84,37.5565976,127.1400291,서울특별시,강동구,암사3동
85,37.5066989,127.1404706,서울특별시,송파구,오금동
86,37.5218168,126.893795,서울특별시,영등포구,당산1동
87,37.4963047,126.9513676,서울특별시,동작구,상도1동
88,37.4843678,126.8209815,서울특별시,구로구,오류2동
89,37.5566323,126.9833734,서울특별시,중구,명동
90,37.5533214,127.0207241,서울특별시,성동구,금호2.3가동
91,37.5878432,127.0125217,서울특별시,성북구,삼선동
92,37.6215349,127.027216,서울특별시,강북구,송천동
93,37.6577736,127.027402,서울특별시,도봉구,방학3동
94,37.5871331,127.0106593,서울특별시,성북구,삼선동
95,37.6192433,126.9345676,서울특별시,은평구,불광1동
96,37.6192081,126.9346719,서울특별시,은평구,불광1동
97,37.5058873,127.1437073,경기도,하남시,감북동
98,37.5051467,127.1460739,경기도,하남시,감북동
99,37.5051975,127.1457477,경기도,하남시,감북동
