serial,id,gu_code,dong_code,latitude,longitude
06-0000031986,60133,0,0,37.6342817,126.9270106
06-0000031719,62781,0,0,37.4740854,126.881499
06-0000031894,64733,0,0,37.6078214,127.097964
06-0000031895,64270,0,0,37.6106126,127.1013167
06-0000031897,64735,0,0,37.5595476,127.1820557
06-0000031901,62937,0,0,37.5669082,126.9831408
06-0000031870,63119,0,0,37.5126896,126.9507437
06-0000031871,63125,0,0,37.5182651,127.0745888
06-0000031872,63193,0,0,37.5765504,126.8902985
06-0000031905,62999,0,0,37.5673426,126.9846183
06-0000031722,64493,0,0,37.6137146,127.0980589
06-0000031723,64559,0,0,37.6132008,127.0999961
06-0000031724,64568,0,0,37.6129559,127.0998753
06-0000031875,62713,0,0,37.5659576,127.1774701
06-0000031839,98071,0,0,37.507417,126.8631608
06-0000031720,62717,0,0,37.5096793,126.9239831
06-0000031904,62997,0,0,37.5667887,126.9843833
06-0000031900,64739,0,0,37.5671075,126.9835014
06-0000031902,62993,0,0,37.5669168,126.9829238
06-0000031903,62995,0,0,37.6877296,127.0538246
06-0000031863,88023,0,0,37.5663749,127.1792511
06-0000031864,63524,0,0,37.5339882,126.8696818
06-0000031892,64201,0,0,37.566778,126.9856973
06-0000031893,64266,0,0,37.5046848,127.0491557
06-0000031963,66966,0,0,37.5747639,127.0373185
06-0000031884,64529,0,0,37.6393887,127.0279141
06-0000031726,63060,0,0,37.4834944,126.9971124
06-0000031725,63122,0,0,37.6131476,127.0997586
06-0000031885,63705,0,0,37.5808727,127.0851193
06-0000031890,63642,0,0,37.5673915,126.9857081
06-0000031873,63196,0,0,37.4850512,126.8944901
06-0000031887,63710,0,0,37.4507428,126.9058954
06-0000031889,64195,0,0,37.4752088,126.8988393
06-0000031891,64198,0,0,37.5668684,126.9857946
06-0000030355,46506,0,0,37.5377758,126.828088
06-0000034662,94911,0,0,37.4849113,126.8201874
06-0000034665,83877,0,0,37.5032499,126.8858059
06-0000034663,104616,0,0,37.484924,126.820311
06-0000032402,102419,0,0,37.6278458,126.9354446
06-0000034661,105653,0,0,37.4852765,126.8194752
06-0000034660,83872,0,0,37.560308,126.8414955
06-0000032403,102032,0,0,37.6283217,126.9341524
06-0000000604,105650,0,0,37.5813771,126.9045914
06-0000000043,4849,0,0,37.5680914,127.0078775
06-0000000601,105652,0,0,37.6203593,126.932008
06-0000000599,106025,0,0,37.6205353,126.9246176
06-0000000600,107743,0,0,37.6205556,126.9192613
06-0000005786,1343,0,0,37.5049714,126.9461758
06-0000016322,88524,0,0,37.6104249,127.096298
06-0000016917,64932,0,0,37.6594812,127.0248773
06-0000019549,97596,0,0,37.6529086,127.0708896
06-0000019550,95976,0,0,37.5265893,126.8614194
06-0000019819,108961,0,0,37.5391717,127.0984585
06-0000020778,92302,0,0,37.5755763,127.0882309
06-0000020786,13404,0,0,37.5717646,127.0860346
06-0000020787,13405,0,0,37.5716737,127.0862785
06-0000019562,9132,0,0,37.5608955,126.8169224
06-0000019566,32922,0,0,37.5012967,126.8905804
06-0000028038,94006,0,0,37.4819212,126.838125
06-0000020785,13403,0,0,37.5751889,127.087925
06-0000018843,11375,0,0,37.4945031,127.0167622
06-0000018815,107144,0,0,37.4916224,127.0729512
06-0000024177,65948,0,0,37.565286,126.9675114
06-0000024664,86191,0,0,37.6555559,127.0615313
06-0000024219,25526,0,0,37.5751537,126.9805564
06-0000019193,85406,0,0,37.6645057,127.043573
06-0000024176,65947,0,0,37.5659381,126.9678005
06-0000036067,99663,0,0,37.5528198,127.024026
06-0000036021,85972,0,0,37.5967241,126.9082002
06-0000036013,85966,0,0,37.488775,127.1460676
06-0000036018,85965,0,0,37.5419726,127.0018883
06-0000036019,85969,0,0,37.5389154,127.0018587
06-0000037460,96002,0,0,37.4648556,127.0414785
06-0000037465,95508,0,0,37.5302715,127.1281047
06-0000037466,95509,0,0,37.4881278,126.8697832
06-0000037468,108991,0,0,37.4848893,126.8711092
06-0000037606,106364,0,0,37.5656917,127.0083532
06-0000036186,89424,0,0,37.6201669,126.9161341
06-0000027906,66442,0,0,37.485995,126.8382508
06-0000036673,95612,0,0,37.5801008,127.0762444
06-0000036674,87876,0,0,37.5566244,126.9834377
06-0000036676,95619,0,0,37.5566402,126.9833111
06-0000036677,87940,0,0,37.5566477,126.9832534
06-0000036678,87941,0,0,37.5566528,126.9832059
06-0000036691,95614,0,0,37.5565976,127.1400291
06-0000036275,85793,0,0,37.5066989,127.1404706
06-0000038150,95905,0,0,37.5218168,126.893795
06-0000039015,107089,0,0,37.4963047,126.9513676
06-0000034664,83876,0,0,37.4843678,126.8209815
06-0000036675,87877,0,0,37.5566323,126.9833734
06-0000036068,85921,0,0,37.5533214,127.0207241
06-0000036070,85979,0,0,37.5878432,127.0125217
06-0000032405,102503,0,0,37.6215349,127.027216
06-0000036062,85386,0,0,37.6577736,127.027402
06-0000036063,85444,0,0,37.5871331,127.0106593
06-0000036065,85446,0,0,37.6192433,126.9345676
06-0000036066,85447,0,0,37.6192081,126.9346719
06-0000036272,85787,0,0,37.5058873,127.1437073
