,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
0,AA0006589639,교육/보건,보건시설,한의원,,,가온자리한의원,207529.155834,448079.81508699997,37.53218639098622,127.0851835070445
1,AA0006596568,교육/보건,보건시설,기타보건시설,약국,미분류,대흥당약국,204191.841619,453156.082971,37.5779446309197,127.04745474787522
2,AA0006782411,산업,서비스산업,언론/미디어,음반/비디오,,팝스디브이디,207161.80285,445671.904828,37.51049399707363,127.08100388776758
3,AA0006926344,산업,서비스산업,종합상품판매업,시장,일반시장,마포농수산물시장,191030.24926500002,451744.527029,37.56519246443755,126.89847310946524
4,AA0006501460,산업,서비스산업,종합상품판매업,편의점,CU,씨유,193999.81446,440934.17438100005,37.46781498628842,126.93217323447429
5,AA0006559755,교육/보건,보건시설,한의원,,,김영훈한의원,211033.50174500002,448090.44249799993,37.53224689107388,127.12483112982055
6,AA0006564713,교육/보건,보건시설,한의원,,,우아미한의원,201322.29645999998,444015.23836400005,37.495594167148454,127.01495292203896
7,AA0006597015,교육/보건,보건시설,기타보건시설,약국,미분류,동인약국,196937.904073,441318.91464499995,37.47129593302871,126.96538411997292
8,AA0006603738,교육/보건,보건시설,기타보건시설,약국,미분류,우리들약국,188575.707753,449414.59251899994,37.54417269988024,126.87072694944969
9,AA0006783602,산업,서비스산업,언론/미디어,음반/비디오,,석비디오,198827.762512,450895.667605,37.5575871772206,126.98673301526885
10,AA0006789863,산업,서비스산업,언론/미디어,기타언론/미디어,,트윈픽쳐스,208640.277139,444940.465849,37.50389105337927,127.09771762548861
11,AA0006790712,산업,서비스산업,언론/미디어,기타언론/미디어,,구혜선필름,201285.825664,448618.84687,37.53707289694958,127.0145485495289
12,AA0006523797,교육/보건,보건시설,병/의원,미분류,,동산의원,201224.134172,461896.717309,37.65670543528049,127.01387273014186
13,AA0006560221,교육/보건,보건시설,한의원,,,닥터정한의원,201789.846388,446205.579654,37.51532846929896,127.02024544417951
14,AA0006564168,교육/보건,보건시설,한의원,,,연세한의원,198384.927968,442927.21854499995,37.48579056149729,126.9817386714749
15,AA0006565485,교육/보건,보건시설,한의원,,,자미당한의원,199867.57518299998,444420.67191599996,37.49924808670553,126.99850242777485
16,AA0006789886,산업,서비스산업,언론/미디어,기타언론/미디어,,필름크루,207701.887881,445131.55830200005,37.505621106995214,127.08710687981123
17,AA0006791139,산업,서비스산업,언론/미디어,기타언론/미디어,,모베터필름,195869.76255,457070.319826,37.613211838968034,126.95322058457178
18,AA0009489595,교육/보건,교육시설,중등교육기관,공립중학교,,한울중학교,191549.930616,440358.95451,37.462613055679576,126.90448609831442
19,AA0003897518,산업,서비스산업,종합상품판매업,시장,미분류,천호시장,211294.43656300002,449063.220608,37.54100844770015,127.12779825119885
20,AA0003897604,산업,서비스산업,종합상품판매업,시장,미분류,장안제일시장,207150.06620899998,453898.115574,37.584612078374235,127.08095125265126
21,AA0005536689,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,200301.77790699998,452128.98719200003,37.56870003909155,127.00341592695982
22,AA0006567252,교육/보건,보건시설,한의원,,,하늘땅한의원,204705.553905,451932.33215699997,37.56691622038103,127.05326249590559
23,AA0006573706,숙박/음식,숙박시설,기타숙박시설,,,코업,193996.432606,442889.906423,37.48543628733853,126.93211906936321
24,AA0009423257,산업,서비스산업,종합상품판매업,할인매장,대형지역슈퍼,제일소비자유통월곡점,204049.716395,456363.59246499994,37.60684466114883,127.04586351719973
25,AA0009216657,산업,서비스산업,종합상품판매업,백화점,롯데백화점,빌리엔젤,204191.340596,453438.19165600004,37.58048641467574,127.0474506889456
26,AA0002115456,교육/보건,교육시설,중등교육기관,공립중학교,,고척중학교,187808.331021,444537.675463,37.50022184626902,126.86212450398688
27,AA0002131324,교육/보건,교육시설,대학교,종합대학,부속시설,사회교육원,209554.44365899998,460393.51028900006,37.64311293941007,127.10825777662177
28,AA0006717676,산업,서비스산업,언론/미디어,음반/비디오,,타워비디오,193034.398682,458248.674542,37.6238115641119,126.92109581921231
29,AA0006597596,교육/보건,보건시설,기타보건시설,약국,메디팜,메디팜광주약국,198083.180491,450950.729671,37.55808203728486,126.97830594610984
