,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude,sido,gu,dong
0,AA0006589639,교육/보건,보건시설,한의원,,,가온자리한의원,207529.1558,448079.8151,37.53218639,127.0851835,서울특별시,광진구,자양2동
1,AA0006596568,교육/보건,보건시설,기타보건시설,약국,미분류,대흥당약국,204191.8416,453156.083,37.57794463,127.0474547,서울특별시,동대문구,전농1동
2,AA0006782411,산업,서비스산업,언론/미디어,음반/비디오,,팝스디브이디,207161.8029,445671.9048,37.510494,127.0810039,서울특별시,송파구,잠실본동
3,AA0006926344,산업,서비스산업,종합상품판매업,시장,일반시장,마포농수산물시장,191030.2493,451744.527,37.56519246,126.8984731,서울특별시,마포구,성산2동
4,AA0006501460,산업,서비스산업,종합상품판매업,편의점,CU,씨유,193999.8145,440934.1744,37.46781499,126.9321732,서울특별시,관악구,대학동
5,AA0006559755,교육/보건,보건시설,한의원,,,김영훈한의원,211033.5017,448090.4425,37.53224689,127.1248311,서울특별시,강동구,성내2동
6,AA0006564713,교육/보건,보건시설,한의원,,,우아미한의원,201322.2965,444015.2384,37.49559417,127.0149529,서울특별시,서초구,서초4동
7,AA0006597015,교육/보건,보건시설,기타보건시설,약국,미분류,동인약국,196937.9041,441318.9146,37.47129593,126.9653841,서울특별시,관악구,인헌동
8,AA0006603738,교육/보건,보건시설,기타보건시설,약국,미분류,우리들약국,188575.7078,449414.5925,37.5441727,126.8707269,서울특별시,양천구,목2동
9,AA0006783602,산업,서비스산업,언론/미디어,음반/비디오,,석비디오,198827.7625,450895.6676,37.55758718,126.986733,서울특별시,중구,명동
10,AA0006789863,산업,서비스산업,언론/미디어,기타언론/미디어,,트윈픽쳐스,208640.2771,444940.4658,37.50389105,127.0977176,서울특별시,송파구,석촌동
11,AA0006790712,산업,서비스산업,언론/미디어,기타언론/미디어,,구혜선필름,201285.8257,448618.8469,37.5370729,127.0145485,서울특별시,용산구,한남동
12,AA0006523797,교육/보건,보건시설,병/의원,미분류,,동산의원,201224.1342,461896.7173,37.65670544,127.0138727,서울특별시,도봉구,쌍문1동
13,AA0006560221,교육/보건,보건시설,한의원,,,닥터정한의원,201789.8464,446205.5797,37.51532847,127.0202454,서울특별시,강남구,논현1동
14,AA0006564168,교육/보건,보건시설,한의원,,,연세한의원,198384.928,442927.2185,37.48579056,126.9817387,서울특별시,동작구,사당2동
15,AA0006565485,교육/보건,보건시설,한의원,,,자미당한의원,199867.5752,444420.6719,37.49924809,126.9985024,서울특별시,서초구,반포4동
16,AA0006789886,산업,서비스산업,언론/미디어,기타언론/미디어,,필름크루,207701.8879,445131.5583,37.50562111,127.0871069,서울특별시,송파구,잠실본동
17,AA0006791139,산업,서비스산업,언론/미디어,기타언론/미디어,,모베터필름,195869.7626,457070.3198,37.61321184,126.9532206,서울특별시,종로구,평창동
18,AA0009489595,교육/보건,교육시설,중등교육기관,공립중학교,,한울중학교,191549.9306,440358.9545,37.46261306,126.9044861,서울특별시,금천구,시흥4동
19,AA0003897518,산업,서비스산업,종합상품판매업,시장,미분류,천호시장,211294.4366,449063.2206,37.54100845,127.1277983,서울특별시,강동구,천호2동
20,AA0003897604,산업,서비스산업,종합상품판매업,시장,미분류,장안제일시장,207150.0662,453898.1156,37.58461208,127.0809513,서울특별시,중랑구,면목5동
21,AA0005536689,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,200301.7779,452128.9872,37.56870004,127.0034159,서울특별시,중구,을지로동
22,AA0006567252,교육/보건,보건시설,한의원,,,하늘땅한의원,204705.5539,451932.3322,37.56691622,127.0532625,서울특별시,동대문구,답십리1동
23,AA0006573706,숙박/음식,숙박시설,기타숙박시설,,,코업,193996.4326,442889.9064,37.48543629,126.9321191,서울특별시,관악구,신림동
24,AA0009423257,산업,서비스산업,종합상품판매업,할인매장,대형지역슈퍼,제일소비자유통월곡점,204049.7164,456363.5925,37.60684466,127.0458635,서울특별시,성북구,월곡2동
25,AA0009216657,산업,서비스산업,종합상품판매업,백화점,롯데백화점,빌리엔젤,204191.3406,453438.1917,37.58048641,127.0474507,서울특별시,동대문구,전농1동
26,AA0002115456,교육/보건,교육시설,중등교육기관,공립중학교,,고척중학교,187808.331,444537.6755,37.50022185,126.8621245,서울특별시,구로구,고척1동
27,AA0002131324,교육/보건,교육시설,대학교,종합대학,부속시설,사회교육원,209554.4437,460393.5103,37.64311294,127.1082578,서울특별시,노원구,공릉2동
28,AA0006717676,산업,서비스산업,언론/미디어,음반/비디오,,타워비디오,193034.3987,458248.6745,37.62381156,126.9210958,서울특별시,은평구,불광2동
29,AA0006597596,교육/보건,보건시설,기타보건시설,약국,메디팜,메디팜광주약국,198083.1805,450950.7297,37.55808204,126.9783059,서울특별시,중구,회현동
30,AA0006558553,교육/보건,보건시설,한의원,,,경희누리한의원,207132.1098,454640.3154,37.59129938,127.0807552,서울특별시,중랑구,면목2동
31,AA0006596237,교육/보건,보건시설,기타보건시설,약국,미분류,대림우리약국,190568.1245,443454.9206,37.49049847,126.8933488,서울특별시,구로구,구로3동
32,AA0006603815,교육/보건,보건시설,기타보건시설,약국,미분류,우리약국,204182.7494,457118.5987,37.61364659,127.0473744,서울특별시,성북구,장위1동
33,AA0006605475,교육/보건,보건시설,기타보건시설,약국,미분류,제당약국,193944.0986,444079.0846,37.49615052,126.9315176,서울특별시,동작구,상도3동
34,AA0006926252,산업,서비스산업,종합상품판매업,할인매장,홈플러스,홈플러스,207244.5229,453443.4372,37.58051472,127.0820162,서울특별시,중랑구,면목5동
35,AA0003897697,산업,서비스산업,종합상품판매업,시장,전통시장,중곡제일골목시장,207160.5649,451549.2368,37.56344874,127.0810472,서울특별시,광진구,중곡1동
36,AA0000164960,교육/보건,보건시설,한의원,,,거여경희한의원,213127.6263,443707.7992,37.4927318,127.1484454,서울특별시,송파구,거여2동
37,AA0003154765,레저/관광/예술,문화/예술시설,극장,일반영화관,미분류,JOYNCINEMA,201939.3725,447058.7086,37.52301489,127.021939,서울특별시,강남구,신사동
38,AA0002572044,레저/관광/예술,문화/예술시설,공연/연극장,문화예술회관,,노원문화예술회관,207098.1832,461196.7437,37.65037219,127.0804347,서울특별시,노원구,중계본동
39,AA0000042603,교육/보건,교육시설,유아교육기관,어린이집,,애일선교어린이집,202734.0644,453006.2689,37.5766003,127.0309511,서울특별시,동대문구,용신동
40,AA0000042806,교육/보건,교육시설,유아교육기관,어린이집,,한내들어린이집,206621.3073,456068.1645,37.60416798,127.0749844,서울특별시,중랑구,중화2동
41,AA0000046449,교육/보건,교육시설,유아교육기관,어린이집,,영삼어린이집,191527.3224,446875.3161,37.52132566,126.9041556,서울특별시,영등포구,영등포동
42,AA0000162707,교육/보건,보건시설,한의원,,,북한산한의원,200765.5903,456896.3181,37.61165306,127.008671,서울특별시,성북구,정릉4동
43,AA0000163414,교육/보건,보건시설,한의원,,,신중앙한의원,203224.7108,453296.9934,37.57921812,127.0365067,서울특별시,동대문구,제기동
44,AA0003146935,교육/보건,보건시설,한의원,,,려한의원,202540.1394,444134.752,37.49666845,127.0287251,서울특별시,강남구,역삼1동
45,AA0003147991,교육/보건,보건시설,한의원,,,발머스한의원,202289.6469,444585.5988,37.50073126,127.0258938,서울특별시,서초구,서초4동
46,AA0003152465,교육/보건,보건시설,한의원,,,동원미한의원,194447.1723,450688.2942,37.55570277,126.9371566,서울특별시,서대문구,신촌동
47,AA0002571942,레저/관광/예술,문화/예술시설,공연/연극장,미분류,,CTS아트홀,194458.4521,445932.5276,37.51285336,126.9373201,서울특별시,동작구,노량진2동
48,AA0000041938,교육/보건,교육시설,유아교육기관,어린이집,,서일대학교부설어린이집,208606.0139,454204.9847,37.58736449,127.0974387,서울특별시,중랑구,면목3.8동
49,AA0000042321,교육/보건,교육시설,유아교육기관,어린이집,,구립성이어린이집,204868.5913,448551.8626,37.53645742,127.0550855,서울특별시,성동구,성수2가1동
50,AA0000089977,교육/보건,보건시설,기타보건시설,약국,지역약국,청와약국,190094.4422,442796.1558,37.484558,126.8880015,서울특별시,구로구,가리봉동
51,AA0000160201,교육/보건,보건시설,한의원,,,이건한의원,207147.3417,451778.2576,37.56551231,127.0808997,서울특별시,광진구,중곡3동
52,AA0000162594,교육/보건,보건시설,한의원,,,오씨전통한의원,198356.6458,441659.5763,37.47436894,126.9814217,서울특별시,관악구,남현동
53,AA0002571354,레저/관광/예술,문화/예술시설,전시관,,,월드컵전시관,190975.8886,452372.4767,37.57084972,126.8978501,서울특별시,마포구,성산2동
54,AA0000042559,교육/보건,교육시설,유아교육기관,어린이집,,보인푸른숲어린이집,205307.4229,455384.9002,37.59802035,127.0601001,서울특별시,동대문구,이문1동
55,AA0000043356,교육/보건,교육시설,유아교육기관,어린이집,,해원어린이집,202254.4097,459293.1857,37.63324608,127.0255405,서울특별시,강북구,미아동
56,AA0000043466,교육/보건,교육시설,유아교육기관,어린이집,,창4동어린이집,204698.0859,460285.5944,37.64217829,127.0532316,서울특별시,도봉구,창4동
57,AA0000046585,교육/보건,교육시설,유아교육기관,어린이집,,소망어린이집,192993.1498,445883.7251,37.51240369,126.9207467,서울특별시,영등포구,신길1동
58,AA0000069693,교육/보건,보건시설,기타보건시설,약국,지역약국,청구종로약국,201140.2747,450968.993,37.55824788,127.0129054,서울특별시,중구,청구동
59,AA0000091753,교육/보건,보건시설,기타보건시설,약국,지역약국,아파트약국,202707.0505,452442.9037,37.57152448,127.0306432,서울특별시,동대문구,용신동
60,AA0003147107,산업,서비스산업,종합상품판매업,백화점,미분류,다이소강남역1호점,202290.7282,444758.6725,37.50229066,127.0259065,서울특별시,강남구,역삼1동
61,AA0000042858,교육/보건,교육시설,유아교육기관,어린이집,,아가사랑어린이집,206623.9697,455756.0547,37.60135588,127.0750117,서울특별시,중랑구,중화2동
62,AA0000046527,교육/보건,교육시설,유아교육기관,어린이집,,새예닮어린이집,192334.0663,446040.2837,37.51380905,126.9132903,서울특별시,영등포구,영등포본동
63,AA0000047591,교육/보건,교육시설,유아교육기관,어린이집,,연세중앙어린이집,206513.8022,443175.4714,37.48800579,127.0736526,서울특별시,강남구,개포2동
64,AA0006499911,산업,서비스산업,종합상품판매업,편의점,GS25,GS25,191991.7221,450220.0592,37.55146593,126.9093725,서울특별시,마포구,합정동
65,AA0006565394,교육/보건,보건시설,한의원,,,일맥한의원,192949.7074,457809.0553,37.61985001,126.9201407,서울특별시,은평구,갈현1동
66,AA0006565798,교육/보건,보건시설,한의원,,,정성한의원,212054.2342,447841.7667,37.52999355,127.1363754,서울특별시,강동구,성내3동
67,AA0006600121,교육/보건,보건시설,기타보건시설,약국,미분류,새은광약국,206902.4093,448549.6712,37.5364247,127.078097,서울특별시,광진구,자양1동
68,AA0006605535,교육/보건,보건시설,기타보건시설,약국,미분류,제일약국,198347.0075,452506.7368,37.57210211,126.9812884,서울특별시,종로구,종로1.2.3.4가동
69,AA0003720747,산업,서비스산업,종합상품판매업,할인매장,이마트,이마트수서점,209134.1816,443112.3577,37.48741495,127.1032808,서울특별시,강남구,수서동
70,AA0003897618,산업,서비스산업,종합상품판매업,시장,전통시장,봉천중앙시장,195965.0582,442726.2944,37.48397282,126.9543787,서울특별시,관악구,중앙동
71,AA0005193825,산업,서비스산업,종합상품판매업,기타종합상품판매업,,은평보육사,192934.5145,456529.485,37.60832112,126.919981,서울특별시,은평구,역촌동
72,AA0006500650,산업,서비스산업,종합상품판매업,편의점,미니스톱,미니스톱,192962.7888,451029.5317,37.55876717,126.920354,서울특별시,마포구,연남동
73,AA0006566221,교육/보건,보건시설,한의원,,,중화한의원,207128.565,455869.7857,37.60237681,127.080727,서울특별시,중랑구,중화1동
74,AA0005535183,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,205705.5706,449370.6355,37.54382976,127.0645618,서울특별시,성동구,성수2가3동
