sido,gu,dong,total,children_fewer14,older_more65
서울특별시,종로구,사직동,"9,546 ",974 ,"1,756 "
서울특별시,종로구,삼청동,"2,836 ",221 ,621 
서울특별시,종로구,부암동,"10,149 ",923 ,"1,736 "
서울특별시,종로구,평창동,"18,951 ","1,831 ","3,144 "
서울특별시,종로구,무악동,"8,215 ","1,068 ","1,307 "
서울특별시,종로구,교남동,"10,701 ","1,272 ","1,478 "
서울특별시,종로구,가회동,"4,429 ",357 ,893 
서울특별시,종로구,종로1.2.3.4가동,"7,420 ",314 ,"1,838 "
서울특별시,종로구,종로5·6가동,"5,225 ",209 ,"1,088 "
서울특별시,종로구,이화동,"8,083 ",490 ,"1,339 "
서울특별시,종로구,창신1동,"5,364 ",273 ,"1,158 "
서울특별시,종로구,창신2동,"8,780 ",488 ,"1,649 "
서울특별시,종로구,창신3동,"7,254 ",664 ,"1,132 "
서울특별시,종로구,숭인1동,"6,376 ",506 ,"1,144 "
서울특별시,종로구,숭인2동,"9,608 ",467 ,"1,593 "
서울특별시,종로구,청운효자동,"13,045 ","1,456 ","2,149 "
서울특별시,종로구,혜화동,"17,083 ","1,286 ","2,547 "
서울특별시,중구,소공동,"2,033 ",234 ,227 
서울특별시,중구,회현동,"5,337 ",295 ,"1,332 "
서울특별시,중구,명동,"2,839 ",165 ,677 
서울특별시,중구,필동,"4,003 ",279 ,783 
서울특별시,중구,장충동,"4,722 ",309 ,767 
서울특별시,중구,광희동,"4,929 ",224 ,"1,097 "
서울특별시,중구,을지로동,"1,716 ",55 ,448 
서울특별시,중구,신당5동,"9,358 ",794 ,"1,513 "
서울특별시,중구,황학동,"12,373 ",944 ,"1,776 "
서울특별시,중구,중림동,"12,648 ","1,373 ","1,872 "
서울특별시,중구,신당동,"7,716 ",393 ,"1,270 "
서울특별시,중구,다산동,"14,600 ",960 ,"2,420 "
서울특별시,중구,약수동,"17,756 ","1,717 ","3,390 "
서울특별시,중구,청구동,"14,652 ","1,278 ","2,504 "
서울특별시,중구,동화동,"11,043 ","1,173 ","1,674 "
서울특별시,용산구,후암동,"18,144 ","1,656 ","2,908 "
서울특별시,용산구,용산2가동,"10,689 ",716 ,"1,998 "
서울특별시,용산구,남영동,"7,821 ",334 ,"1,533 "
서울특별시,용산구,원효로2동,"14,912 ","1,634 ","2,286 "
서울특별시,용산구,효창동,"8,944 ",928 ,"1,285 "
서울특별시,용산구,용문동,"12,625 ","1,244 ","1,953 "
서울특별시,용산구,이촌1동,"28,302 ","4,215 ","4,259 "
서울특별시,용산구,이촌2동,"8,990 ",830 ,"1,666 "
서울특별시,용산구,이태원1동,"7,042 ",400 ,"1,494 "
서울특별시,용산구,이태원2동,"9,463 ",701 ,"1,810 "
서울특별시,용산구,서빙고동,"13,502 ","1,437 ","2,014 "
서울특별시,용산구,보광동,"14,858 ",828 ,"2,651 "
서울특별시,용산구,청파동,"20,105 ","1,242 ","3,211 "
서울특별시,용산구,원효로1동,"15,421 ","1,731 ","1,818 "
서울특별시,용산구,한강로동,"17,667 ","1,228 ","2,909 "
서울특별시,용산구,한남동,"20,514 ","1,535 ","3,417 "
서울특별시,성동구,왕십리2동,"17,748 ","1,793 ","2,416 "
서울특별시,성동구,마장동,"23,446 ","2,025 ","3,476 "
서울특별시,성동구,사근동,"11,624 ",707 ,"1,412 "
서울특별시,성동구,행당1동,"16,238 ","1,486 ","2,270 "
서울특별시,성동구,행당2동,"24,986 ","3,107 ","3,382 "
서울특별시,성동구,응봉동,"16,340 ","2,142 ","2,360 "
서울특별시,성동구,금호1가동,"16,087 ","1,789 ","2,298 "
서울특별시,성동구,금호4가동,"15,345 ","1,972 ","2,121 "
서울특별시,성동구,성수1가1동,"17,242 ","1,597 ","1,974 "
서울특별시,성동구,성수1가2동,"15,332 ","1,358 ","1,968 "
서울특별시,성동구,성수2가1동,"17,580 ","1,339 ","2,613 "
서울특별시,성동구,성수2가3동,"11,556 ",899 ,"1,701 "
서울특별시,성동구,송정동,"11,267 ",864 ,"1,606 "
서울특별시,성동구,용답동,"14,569 ",885 ,"2,373 "
서울특별시,성동구,왕십리도선동,"27,345 ","3,186 ","3,362 "
서울특별시,성동구,금호2.3가동,"24,271 ","2,523 ","3,661 "
서울특별시,성동구,옥수동,"27,245 ","3,511 ","3,636 "
서울특별시,광진구,화양동,"21,441 ",730 ,"2,152 "
서울특별시,광진구,군자동,"19,935 ","1,507 ","2,722 "
서울특별시,광진구,중곡1동,"16,043 ","1,193 ","2,226 "
서울특별시,광진구,중곡2동,"22,327 ","2,027 ","2,891 "
서울특별시,광진구,중곡3동,"17,604 ","1,363 ","2,530 "
서울특별시,광진구,중곡4동,"30,782 ","2,544 ","4,407 "
서울특별시,광진구,능동,"11,558 ",859 ,"1,450 "
서울특별시,광진구,구의1동,"22,517 ","1,522 ","2,859 "
서울특별시,광진구,구의2동,"27,558 ","2,945 ","3,861 "
서울특별시,광진구,구의3동,"30,151 ","3,087 ","3,547 "
서울특별시,광진구,광장동,"36,139 ","5,982 ","3,347 "
서울특별시,광진구,자양1동,"23,295 ","1,819 ","3,053 "
서울특별시,광진구,자양2동,"27,038 ","2,708 ","3,466 "
서울특별시,광진구,자양3동,"29,811 ","3,863 ","3,558 "
서울특별시,광진구,자양4동,"19,360 ","1,199 ","3,363 "
서울특별시,동대문구,회기동,"10,356 ",807 ,"1,436 "
서울특별시,동대문구,휘경1동,"12,932 ",808 ,"2,214 "
서울특별시,동대문구,휘경2동,"24,561 ","2,283 ","3,516 "
서울특별시,동대문구,청량리동,"21,838 ","1,501 ","5,018 "
서울특별시,동대문구,용신동,"30,452 ","2,058 ","5,298 "
서울특별시,동대문구,제기동,"25,099 ","1,721 ","5,252 "
서울특별시,동대문구,전농1동,"30,459 ","2,760 ","5,146 "
서울특별시,동대문구,전농2동,"19,946 ","2,144 ","3,341 "
서울특별시,동대문구,답십리1동,"29,048 ","3,672 ","3,660 "
서울특별시,동대문구,답십리2동,"28,670 ","2,664 ","4,889 "
서울특별시,동대문구,장안1동,"38,588 ","3,851 ","5,548 "
서울특별시,동대문구,장안2동,"31,368 ","3,978 ","4,275 "
서울특별시,동대문구,이문1동,"23,287 ","1,599 ","3,881 "
서울특별시,동대문구,이문2동,"21,448 ","2,281 ","3,517 "
서울특별시,중랑구,면목2동,"26,112 ","2,276 ","3,956 "
서울특별시,중랑구,면목4동,"20,422 ","1,778 ","3,391 "
서울특별시,중랑구,면목5동,"9,951 ",847 ,"1,568 "
서울특별시,중랑구,면목7동,"21,960 ","1,677 ","3,700 "
서울특별시,중랑구,상봉1동,"25,466 ","2,776 ","3,290 "
서울특별시,중랑구,상봉2동,"18,921 ","1,190 ","2,639 "
서울특별시,중랑구,중화1동,"20,848 ","2,015 ","3,034 "
서울특별시,중랑구,중화2동,"28,044 ","1,708 ","4,691 "
서울특별시,중랑구,묵1동,"36,069 ","4,015 ","5,124 "
서울특별시,중랑구,묵2동,"20,111 ","1,810 ","3,043 "
서울특별시,중랑구,망우3동,"18,031 ","1,403 ","2,952 "
서울특별시,중랑구,신내1동,"41,126 ","5,662 ","5,835 "
서울특별시,중랑구,신내2동,"22,305 ","2,395 ","3,438 "
서울특별시,중랑구,면목본동,"35,747 ","2,738 ","5,434 "
서울특별시,중랑구,면목3.8동,"26,663 ","1,904 ","4,444 "
서울특별시,중랑구,망우본동,"31,433 ","2,459 ","5,209 "
서울특별시,성북구,돈암1동,"16,296 ","1,495 ","2,602 "
