sido,gu,total,children_fewer14,older_more65
서울특별시,종로구,"153,065 ","12,799 ","26,572 "
서울특별시,중구,"125,725 ","10,193 ","21,750 "
서울특별시,용산구,"228,999 ","20,659 ","37,212 "
서울특별시,성동구,"308,221 ","31,183 ","42,629 "
서울특별시,광진구,"355,559 ","33,348 ","45,432 "
서울특별시,동대문구,"348,052 ","32,127 ","56,991 "
서울특별시,중랑구,"403,209 ","36,653 ","61,748 "
서울특별시,성북구,"435,868 ","45,594 ","67,646 "
서울특별시,강북구,"319,164 ","27,378 ","58,103 "
서울특별시,도봉구,"339,413 ","32,078 ","55,926 "
서울특별시,노원구,"543,752 ","58,274 ","77,032 "
서울특별시,은평구,"483,197 ","48,244 ","77,263 "
서울특별시,서대문구,"310,313 ","29,854 ","50,045 "
서울특별시,마포구,"375,077 ","39,212 ","50,544 "
서울특별시,양천구,"464,185 ","54,350 ","57,941 "
서울특별시,강서구,"596,949 ","64,454 ","79,445 "
서울특별시,구로구,"404,497 ","43,315 ","61,105 "
서울특별시,금천구,"233,917 ","20,328 ","35,354 "
서울특별시,영등포구,"367,778 ","35,510 ","54,906 "
서울특별시,동작구,"396,203 ","38,674 ","59,265 "
서울특별시,관악구,"501,957 ","38,249 ","71,888 "
서울특별시,서초구,"433,951 ","55,449 ","54,663 "
서울특별시,강남구,"542,364 ","60,803 ","66,957 "
서울특별시,송파구,"666,635 ","76,613 ","81,211 "
서울특별시,강동구,"427,573 ","45,712 ","58,669 "
