sido,gu,dong,name
서울특별시,강남구,개포2동,3
서울특별시,강남구,논현1동,2
서울특별시,강남구,논현2동,5
서울특별시,강남구,대치2동,3
서울특별시,강남구,도곡1동,1
서울특별시,강남구,도곡2동,2
서울특별시,강남구,삼성1동,2
서울특별시,강남구,삼성2동,1
서울특별시,강남구,수서동,2
서울특별시,강남구,신사동,1
서울특별시,강남구,압구정동,1
서울특별시,강남구,역삼1동,3
서울특별시,강남구,역삼2동,3
서울특별시,강남구,일원2동,1
서울특별시,강남구,일원본동,1
서울특별시,강동구,길동,1
서울특별시,강동구,둔촌1동,1
서울특별시,강동구,둔촌2동,1
서울특별시,강동구,명일1동,1
서울특별시,강동구,명일2동,1
서울특별시,강동구,상일동,1
서울특별시,강동구,성내1동,1
서울특별시,강동구,성내2동,3
서울특별시,강동구,성내3동,1
서울특별시,강동구,암사2동,1
서울특별시,강동구,천호1동,1
서울특별시,강북구,미아동,1
서울특별시,강북구,번1동,1
서울특별시,강북구,삼각산동,1
서울특별시,강북구,삼양동,1
서울특별시,강북구,송중동,1
서울특별시,강북구,송천동,1
서울특별시,강북구,수유1동,1
서울특별시,강북구,수유2동,1
서울특별시,강북구,우이동,3
서울특별시,강서구,가양1동,3
서울특별시,강서구,공항동,3
서울특별시,강서구,등촌1동,1
서울특별시,강서구,등촌3동,1
서울특별시,강서구,발산1동,2
서울특별시,강서구,방화1동,1
서울특별시,강서구,방화2동,5
서울특별시,강서구,방화3동,1
서울특별시,강서구,화곡1동,3
서울특별시,관악구,남현동,2
서울특별시,관악구,신림동,1
서울특별시,관악구,신사동,1
서울특별시,관악구,은천동,1
서울특별시,관악구,행운동,2
서울특별시,광진구,광장동,1
서울특별시,광진구,구의2동,1
서울특별시,광진구,구의3동,1
서울특별시,광진구,능동,3
서울특별시,광진구,자양2동,1
서울특별시,광진구,자양3동,1
서울특별시,광진구,중곡3동,1
서울특별시,광진구,화양동,2
서울특별시,구로구,개봉1동,1
서울특별시,구로구,구로1동,1
서울특별시,구로구,구로3동,2
서울특별시,구로구,구로5동,1
서울특별시,구로구,수궁동,2
서울특별시,구로구,신도림동,3
서울특별시,구로구,오류2동,2
서울특별시,금천구,가산동,3
서울특별시,금천구,시흥1동,1
서울특별시,노원구,공릉1동,3
서울특별시,노원구,공릉2동,1
서울특별시,노원구,상계1동,1
서울특별시,노원구,상계2동,2
서울특별시,노원구,상계3.4동,1
서울특별시,노원구,상계5동,1
서울특별시,노원구,상계9동,1
서울특별시,노원구,월계1동,2
서울특별시,노원구,월계2동,1
서울특별시,노원구,중계2.3동,1
서울특별시,노원구,하계1동,1
서울특별시,도봉구,도봉2동,3
서울특별시,도봉구,방학1동,1
서울특별시,도봉구,쌍문3동,1
서울특별시,도봉구,창4동,3
서울특별시,동대문구,용신동,5
서울특별시,동대문구,이문1동,1
서울특별시,동대문구,이문2동,1
서울특별시,동대문구,전농1동,3
서울특별시,동대문구,제기동,1
서울특별시,동대문구,휘경1동,3
서울특별시,동작구,노량진1동,3
서울특별시,동작구,대방동,2
서울특별시,동작구,사당2동,4
서울특별시,동작구,사당4동,1
서울특별시,동작구,상도1동,2
서울특별시,동작구,상도2동,1
서울특별시,동작구,흑석동,1
서울특별시,마포구,공덕동,4
서울특별시,마포구,대흥동,3
서울특별시,마포구,도화동,1
서울특별시,마포구,상암동,3
서울특별시,마포구,서강동,2
서울특별시,마포구,서교동,4
서울특별시,마포구,성산2동,2
서울특별시,마포구,아현동,2
서울특별시,마포구,합정동,2
서울특별시,서대문구,남가좌1동,1
서울특별시,서대문구,신촌동,2
서울특별시,서대문구,천연동,1
서울특별시,서대문구,충현동,3
서울특별시,서대문구,홍제2동,1
서울특별시,서대문구,홍제3동,1
서울특별시,서초구,내곡동,1
서울특별시,서초구,반포1동,2
서울특별시,서초구,반포2동,1
서울특별시,서초구,반포4동,3
서울특별시,서초구,반포본동,1
서울특별시,서초구,방배1동,1
서울특별시,서초구,방배2동,1
서울특별시,서초구,방배3동,1
서울특별시,서초구,서초1동,2
서울특별시,서초구,서초2동,2
서울특별시,서초구,서초3동,2
서울특별시,서초구,양재1동,2
서울특별시,서초구,양재2동,1
서울특별시,서초구,잠원동,1
서울특별시,성동구,금호1가동,1
서울특별시,성동구,금호4가동,1
서울특별시,성동구,마장동,1
서울특별시,성동구,사근동,2
서울특별시,성동구,성수1가1동,1
서울특별시,성동구,성수1가2동,1
서울특별시,성동구,성수2가3동,1
서울특별시,성동구,옥수동,2
서울특별시,성동구,왕십리2동,1
서울특별시,성동구,용답동,3
서울특별시,성동구,응봉동,1
서울특별시,성동구,행당1동,4
서울특별시,성동구,행당2동,1
서울특별시,성북구,길음1동,1
서울특별시,성북구,보문동,2
