,latitude,longitude,sido,gu,dong
0,37.497175,127.027926,서울특별시,서초구,서초2동
1,37.497175,127.027926,서울특별시,서초구,서초2동
2,37.486839,127.058856,서울특별시,강남구,개포2동
3,37.489116,127.06614,서울특별시,강남구,개포2동
4,37.491373,127.07272,서울특별시,강남구,개포2동
5,37.487371,127.10188,서울특별시,강남구,수서동
6,37.487371,127.10188,서울특별시,강남구,수서동
7,37.486947,127.046769,서울특별시,강남구,도곡1동
8,37.490858,127.055381,서울특별시,강남구,도곡2동
9,37.490858,127.055381,서울특별시,강남구,도곡2동
10,37.494612,127.063642,서울특별시,강남구,대치2동
11,37.496663,127.070594,서울특별시,강남구,대치2동
12,37.516334,127.020114,서울특별시,강남구,논현1동
13,37.504598,127.02506,서울특별시,강남구,역삼1동
14,37.507287,127.033868,서울특별시,강남구,역삼1동
15,37.513011,127.053282,서울특별시,강남구,삼성2동
16,37.514219,127.060245,서울특별시,강남구,삼성1동
17,37.496237,127.052873,서울특별시,강남구,역삼2동
18,37.51098,127.043593,서울특별시,강남구,논현2동
19,37.51098,127.043593,서울특별시,강남구,논현2동
20,37.527072,127.028461,서울특별시,강남구,신사동
21,37.527381,127.040534,서울특별시,강남구,압구정동
22,37.483681,127.08439,서울특별시,강남구,일원본동
23,37.493514,127.079532,서울특별시,강남구,일원2동
24,37.500622,127.036456,서울특별시,강남구,역삼1동
25,37.504503,127.049008,서울특별시,강남구,역삼2동
26,37.504503,127.049008,서울특별시,강남구,역삼2동
27,37.508844,127.06316,서울특별시,강남구,대치2동
28,37.511093,127.021415,서울특별시,강남구,논현1동
29,37.514229,127.031656,서울특별시,강남구,논현2동
30,37.517186,127.04128,서울특별시,강남구,논현2동
31,37.517186,127.04128,서울특별시,강남구,논현2동
32,37.519365,127.05335,서울특별시,강남구,삼성1동
33,37.555004,127.154151,서울특별시,강동구,명일2동
34,37.556712,127.166417,서울특별시,강동구,상일동
35,37.527788,127.136248,서울특별시,강동구,성내3동
36,37.537801,127.140004,서울특별시,강동구,길동
37,37.545477,127.142853,서울특별시,강동구,천호1동
38,37.55137,127.143999,서울특별시,강동구,명일1동
39,37.530341,127.120508,서울특별시,강동구,성내1동
40,37.55021,127.127562,서울특별시,강동구,암사2동
41,37.535804,127.132481,서울특별시,강동구,성내2동
42,37.538397,127.123572,서울특별시,강동구,성내2동
43,37.538397,127.123572,서울특별시,강동구,성내2동
44,37.62667,127.025983,서울특별시,강북구,미아동
45,37.638052,127.025732,서울특별시,강북구,번1동
46,37.613292,127.030053,서울특별시,강북구,송중동
47,37.620185,127.013627,서울특별시,강북구,삼각산동
48,37.621227,127.020517,서울특별시,강북구,송천동
49,37.62673,127.018148,서울특별시,강북구,삼양동
50,37.641231,127.016836,서울특별시,강북구,수유2동
51,37.634104,127.01752,서울특별시,강북구,수유1동
52,37.662949,127.012638,서울특별시,강북구,우이동
53,37.655841,127.01322,서울특별시,강북구,우이동
54,37.649845,127.013566,서울특별시,강북구,우이동
55,37.548768,126.836318,서울특별시,강서구,발산1동
56,37.531768,126.846683,서울특별시,강서구,화곡1동
57,37.531768,126.846683,서울특별시,강서구,화곡1동
58,37.578608,126.798153,서울특별시,강서구,방화2동
59,37.560183,126.825448,서울특별시,강서구,공항동
60,37.558598,126.837668,서울특별시,강서구,발산1동
61,37.561184,126.811973,서울특별시,강서구,공항동
62,37.550632,126.865689,서울특별시,양천구,목3동
63,37.546936,126.874916,서울특별시,양천구,목2동
64,37.577446,126.812741,서울특별시,강서구,방화3동
65,37.567336,126.829497,서울특별시,강서구,가양1동
66,37.567532,126.816601,서울특별시,강서구,방화1동
67,37.563726,126.810678,서울특별시,강서구,공항동
68,37.572399,126.806171,서울특별시,강서구,방화2동
69,37.568381,126.841333,서울특별시,강서구,가양1동
70,37.561391,126.854456,서울특별시,강서구,등촌3동
71,37.557402,126.861939,서울특별시,강서구,등촌1동
72,37.562434,126.801058,서울특별시,강서구,방화2동
73,37.562434,126.801058,서울특별시,강서구,방화2동
74,37.562434,126.801058,서울특별시,강서구,방화2동
75,37.541513,126.840461,서울특별시,강서구,화곡1동
76,37.484201,126.929715,서울특별시,관악구,신림동
77,37.482362,126.941892,서울특별시,관악구,은천동
78,37.481247,126.952739,서울특별시,관악구,행운동
79,37.47693,126.963693,서울특별시,관악구,행운동
80,37.535095,127.094681,서울특별시,광진구,구의3동
81,37.53154,127.066704,서울특별시,광진구,자양3동
82,37.540693,127.07023,서울특별시,광진구,화양동
83,37.548014,127.074658,서울특별시,광진구,능동
84,37.565923,127.08432,서울특별시,광진구,중곡3동
85,37.540693,127.07023,서울특별시,광진구,화양동
86,37.537077,127.085916,서울특별시,광진구,자양2동
87,37.545303,127.10357,서울특별시,광진구,광장동
88,37.557121,127.079542,서울특별시,광진구,능동
89,37.557121,127.079542,서울특별시,광진구,능동
90,37.551691,127.089761,서울특별시,광진구,구의2동
91,37.494526,126.845365,서울특별시,구로구,오류2동
92,37.492258,126.823388,서울특별시,구로구,수궁동
93,37.494594,126.85868,서울특별시,구로구,개봉1동
94,37.514287,126.882768,서울특별시,구로구,신도림동
95,37.503039,126.881966,서울특별시,구로구,구로5동
96,37.496756,126.870793,서울특별시,구로구,구로1동
97,37.486056,126.887249,서울특별시,구로구,구로3동
98,37.49297,126.895801,서울특별시,영등포구,대림3동
99,37.485266,126.901401,서울특별시,구로구,구로3동
100,37.492258,126.823388,서울특별시,구로구,수궁동
101,37.508725,126.891295,서울특별시,구로구,신도림동
102,37.508725,126.891295,서울특별시,구로구,신도림동
103,37.486637,126.838713,서울특별시,구로구,오류2동
104,37.466613,126.889249,서울특별시,금천구,가산동
105,37.481072,126.882343,서울특별시,금천구,가산동
106,37.481072,126.882343,서울특별시,금천구,가산동
107,37.455626,126.89398,서울특별시,금천구,시흥1동
108,37.625742,127.072896,서울특별시,노원구,공릉1동
109,37.636352,127.06799,서울특별시,노원구,하계1동
110,37.644583,127.064303,서울특별시,노원구,중계2.3동
111,37.655128,127.061368,서울특별시,노원구,상계2동
112,37.66494,127.057675,서울특별시,노원구,상계9동
113,37.67785,127.055315,서울특별시,노원구,상계1동
114,37.617983,127.07512,서울특별시,노원구,공릉1동
115,37.617983,127.07512,서울특별시,노원구,공릉1동
116,37.660878,127.073572,서울특별시,노원구,상계5동
117,37.670272,127.079066,서울특별시,노원구,상계3.4동
118,37.655128,127.061368,서울특별시,노원구,상계2동
119,37.623632,127.061835,서울특별시,노원구,월계1동
120,37.623632,127.061835,서울특별시,노원구,월계1동
121,37.633212,127.058831,서울특별시,노원구,월계2동
122,37.614805,127.065851,서울특별시,성북구,석관동
123,37.614805,127.065851,서울특별시,성북구,석관동
124,37.620064,127.084689,서울특별시,노원구,공릉2동
125,37.644799,127.051269,서울특별시,도봉구,창4동
126,37.689313,127.046222,서울특별시,도봉구,도봉2동
127,37.689313,127.046222,서울특별시,도봉구,도봉2동
128,37.648627,127.034709,서울특별시,도봉구,쌍문3동
129,37.667503,127.044273,서울특별시,도봉구,방학1동
130,37.679563,127.045595,서울특별시,도봉구,도봉2동
131,37.653166,127.047731,서울특별시,도봉구,창4동
132,37.653166,127.047731,서울특별시,도봉구,창4동
133,37.575297,127.025087,서울특별시,동대문구,용신동
134,37.580178,127.046835,서울특별시,동대문구,전농1동
135,37.580178,127.046835,서울특별시,동대문구,전농1동
136,37.575297,127.025087,서울특별시,동대문구,용신동
137,37.575297,127.025087,서울특별시,동대문구,용신동
138,37.580178,127.046835,서울특별시,동대문구,전농1동
139,37.578103,127.034893,서울특별시,동대문구,용신동
140,37.574028,127.038091,서울특별시,동대문구,용신동
141,37.56144,127.064623,서울특별시,성동구,용답동
142,37.601854,127.067325,서울특별시,동대문구,이문2동
143,37.58946,127.057583,서울특별시,동대문구,휘경1동
144,37.58946,127.057583,서울특별시,동대문구,휘경1동
145,37.58946,127.057583,서울특별시,동대문구,휘경1동
146,37.596073,127.063549,서울특별시,동대문구,이문1동
147,37.47653,126.981685,서울특별시,관악구,남현동
148,37.514219,126.942454,서울특별시,동작구,노량진1동
149,37.514219,126.942454,서울특별시,동작구,노량진1동
150,37.512887,126.953222,서울특별시,동작구,노량진1동
151,37.487462,126.913149,서울특별시,관악구,신사동
152,37.486263,126.981989,서울특별시,동작구,사당2동
153,37.47653,126.981685,서울특별시,관악구,남현동
