,id,name,line,line_detail,address,latitude_x,longitude_x,latitude_y,longitude_y,sido,gu,dong
0,강남2,강남,2,2,서울특별시 강남구 강남대로 지하 396,37.497175,127.027926,37.497175,127.027926,서울특별시,서초구,서초2동
1,강남S,강남,S,신분당,서울특별시 강남구 강남대로 지하 396,37.497175,127.027926,37.497175,127.027926,서울특별시,서초구,서초2동
2,구룡B,구룡,B,분당,서울특별시 강남구 개포로 지하 403,37.486839,127.058856,37.486839,127.058856,서울특별시,강남구,개포2동
3,개포동B,개포동,B,분당,서울특별시 강남구 개포로 지하 420,37.489116,127.06614,37.489116,127.06614,서울특별시,강남구,개포2동
4,대모산입구B,대모산입구,B,분당,서울특별시 강남구 개포로 지하 522,37.491373,127.07272,37.491373,127.07272,서울특별시,강남구,개포2동
5,수서3,수서,3,3,서울특별시 강남구 광평로 지하 270,37.487371,127.10188,37.487371,127.10188,서울특별시,강남구,수서동
6,수서B,수서,B,분당,서울특별시 강남구 광평로 지하 270,37.487371,127.10188,37.487371,127.10188,서울특별시,강남구,수서동
7,매봉3,매봉,3,3,서울특별시 강남구 남부순환로 지하 2744,37.486947,127.046769,37.486947,127.046769,서울특별시,강남구,도곡1동
8,도곡3,도곡,3,3,서울특별시 강남구 남부순환로 지하 2814,37.490858,127.055381,37.490858,127.055381,서울특별시,강남구,도곡2동
9,도곡B,도곡,B,분당,서울특별시 강남구 남부순환로 지하 2814,37.490858,127.055381,37.490858,127.055381,서울특별시,강남구,도곡2동
10,대치3,대치,3,3,서울특별시 강남구 남부순환로 지하 2952,37.494612,127.063642,37.494612,127.063642,서울특별시,강남구,대치2동
11,학여울3,학여울,3,3,서울특별시 강남구 남부순환로 지하 3104,37.496663,127.070594,37.496663,127.070594,서울특별시,강남구,대치2동
12,신사3,신사,3,3,서울특별시 강남구 도산대로 지하 102,37.516334,127.020114,37.516334,127.020114,서울특별시,강남구,논현1동
13,신논현9,신논현,9,9,서울특별시 강남구 봉은사로 지하 102,37.504598,127.02506,37.504598,127.02506,서울특별시,강남구,역삼1동
14,언주9,언주,9,9,서울특별시 강남구 봉은사로 지하 201,37.507287,127.033868,37.507287,127.033868,서울특별시,강남구,역삼1동
15,삼성중앙9,삼성중앙,9,9,서울특별시 강남구 봉은사로 지하 501,37.513011,127.053282,37.513011,127.053282,서울특별시,강남구,삼성2동
16,봉은사9,봉은사,9,9,서울특별시 강남구 봉은사로 지하 601,37.514219,127.060245,37.514219,127.060245,서울특별시,강남구,삼성1동
17,한티B,한티,B,분당,서울특별시 강남구 선릉로 지하 228,37.496237,127.052873,37.496237,127.052873,서울특별시,강남구,역삼2동
18,선정릉B,선정릉,B,분당,서울특별시 강남구 선릉로 지하 580,37.51098,127.043593,37.51098,127.043593,서울특별시,강남구,논현2동
19,선정릉9,선정릉,9,9,서울특별시 강남구 선릉로 지하 580,37.51098,127.043593,37.51098,127.043593,서울특별시,강남구,논현2동
20,압구정3,압구정,3,3,서울특별시 강남구 압구정로 지하 172,37.527072,127.028461,37.527072,127.028461,서울특별시,강남구,신사동
21,압구정로데오B,압구정로데오,B,분당,서울특별시 강남구 압구정로 지하 402,37.527381,127.040534,37.527381,127.040534,서울특별시,강남구,압구정동
22,일원3,일원,3,3,서울특별시 강남구 일원로 지하 121,37.483681,127.08439,37.483681,127.08439,서울특별시,강남구,일원본동
23,대청3,대청,3,3,서울특별시 강남구 일원로 지하 2,37.493514,127.079532,37.493514,127.079532,서울특별시,강남구,일원2동
24,역삼2,역삼,2,2,서울특별시 강남구 테헤란로 지하 156,37.500622,127.036456,37.500622,127.036456,서울특별시,강남구,역삼1동
25,선릉2,선릉,2,2,서울특별시 강남구 테헤란로 지하 340,37.504503,127.049008,37.504503,127.049008,서울특별시,강남구,역삼2동
26,선릉B,선릉,B,분당,서울특별시 강남구 테헤란로 지하 340,37.504503,127.049008,37.504503,127.049008,서울특별시,강남구,역삼2동
27,삼성2,삼성,2,2,서울특별시 강남구 테헤란로 지하 538,37.508844,127.06316,37.508844,127.06316,서울특별시,강남구,대치2동
28,논현7,논현,7,7,서울특별시 강남구 학동로 지하 102,37.511093,127.021415,37.511093,127.021415,서울특별시,강남구,논현1동
29,학동7,학동,7,7,서울특별시 강남구 학동로 지하 180,37.514229,127.031656,37.514229,127.031656,서울특별시,강남구,논현2동
30,강남구청7,강남구청,7,7,서울특별시 강남구 학동로 지하 346,37.517186,127.04128,37.517186,127.04128,서울특별시,강남구,논현2동
31,강남구청B,강남구청,B,분당,서울특별시 강남구 학동로 지하 346,37.517186,127.04128,37.517186,127.04128,서울특별시,강남구,논현2동
32,청담7,청담,7,7,서울특별시 강남구 학동로 지하 508,37.519365,127.05335,37.519365,127.05335,서울특별시,강남구,삼성1동
33,고덕5,고덕,5,5,서울특별시 강동구 고덕로 지하 253,37.555004,127.154151,37.555004,127.154151,서울특별시,강동구,명일2동
34,상일동5,상일동,5,5,서울특별시 강동구 고덕로 지하 359,37.556712,127.166417,37.556712,127.166417,서울특별시,강동구,상일동
35,둔촌동5,둔촌동,5,5,서울특별시 강동구 양재대로 지하 1369,37.527788,127.136248,37.527788,127.136248,서울특별시,강동구,성내3동
36,길동5,길동,5,5,서울특별시 강동구 양재대로 지하 1480,37.537801,127.140004,37.537801,127.140004,서울특별시,강동구,길동
37,굽은다리5,굽은다리,5,5,서울특별시 강동구 양재대로 지하 1572,37.545477,127.142853,37.54547700000001,127.142853,서울특별시,강동구,천호1동
38,명일5,명일,5,5,서울특별시 강동구 양재대로 지하 1632,37.55137,127.143999,37.55137,127.143999,서울특별시,강동구,명일1동
39,강동구청8,강동구청,8,8,서울특별시 강동구 올림픽로 지하 550,37.530341,127.120508,37.530341,127.120508,서울특별시,강동구,성내1동
40,암사8,암사,8,8,서울특별시 강동구 올림픽로 지하 776,37.55021,127.127562,37.55021,127.127562,서울특별시,강동구,암사2동
41,강동5,강동,5,5,서울특별시 강동구 천호대로 지하 1097,37.535804,127.132481,37.535804,127.132481,서울특별시,강동구,성내2동
42,천호5,천호,5,5,서울특별시 강동구 천호대로 지하 997,37.538397,127.123572,37.538397,127.123572,서울특별시,강동구,성내2동
43,천호8,천호,8,8,서울특별시 강동구 천호대로 지하 997,37.538397,127.123572,37.538397,127.123572,서울특별시,강동구,성내2동
44,미아4,미아,4,4,서울특별시 강북구 도봉로 지하 198,37.62667,127.025983,37.62667,127.025983,서울특별시,강북구,미아동
45,수유4,수유,4,4,서울특별시 강북구 도봉로 지하 338,37.638052,127.025732,37.638052,127.025732,서울특별시,강북구,번1동
46,미아사거리4,미아사거리,4,4,서울특별시 강북구 도봉로 지하 50,37.613292,127.030053,37.613292,127.030053,서울특별시,강북구,송중동
47,솔샘UI,솔샘,UI,우이,서울특별시 강북구 미아동 1353-20,37.620185,127.013627,37.620185,127.013627,서울특별시,강북구,삼각산동
48,삼양사거리UI,삼양사거리,UI,우이,서울특별시 강북구 미아동 745-142,37.621227,127.020517,37.621227,127.020517,서울특별시,강북구,송천동
49,삼양UI,삼양,UI,우이,서울특별시 강북구 미아동 791-4703,37.62673,127.018148,37.62673,127.018148,서울특별시,강북구,삼양동
50,가오리UI,가오리,UI,우이,서울특별시 강북구 수유동 338-47,37.641231,127.016836,37.641231,127.016836,서울특별시,강북구,수유2동
51,화계UI,화계,UI,우이,서울특별시 강북구 수유동 472-691,37.634104,127.01752,37.634104,127.01752,서울특별시,강북구,수유1동
52,북한산우이UI,북한산우이,UI,우이,서울특별시 강북구 우이동 16-20,37.662949,127.012638,37.662949,127.012638,서울특별시,강북구,우이동
53,솔밭공원UI,솔밭공원,UI,우이,서울특별시 강북구 우이동 57-28,37.655841,127.01322,37.655841,127.01322,서울특별시,강북구,우이동
54,419민주묘지UI,419민주묘지,UI,우이,서울특별시 강북구 우이동 72-186,37.649845,127.013566,37.649845,127.013566,서울특별시,강북구,우이동
55,우장산5,우장산,5,5,서울특별시 강서구 강서로 지하 262,37.548768,126.836318,37.548768,126.836318,서울특별시,강서구,발산1동
56,까치산2,까치산,2,2,서울특별시 강서구 강서로 지하 54,37.531768,126.846683,37.531768,126.846683,서울특별시,강서구,화곡1동
57,까치산5,까치산,5,5,서울특별시 강서구 강서로 지하 54,37.531768,126.846683,37.531768,126.846683,서울특별시,강서구,화곡1동
58,개화9,개화,9,9,서울특별시 강서구 개화동로8길 19,37.578608,126.798153,37.578608,126.798153,서울특별시,강서구,방화2동
59,마곡5,마곡,5,5,서울특별시 강서구 공항대로 지하 163,37.560183,126.825448,37.560183,126.825448,서울특별시,강서구,공항동
60,발산5,발산,5,5,서울특별시 강서구 공항대로 지하 267,37.558598,126.837668,37.558598,126.837668,서울특별시,강서구,발산1동
61,송정5,송정,5,5,서울특별시 강서구 공항대로 지하 33,37.561184,126.811973,37.561184,126.811973,서울특별시,강서구,공항동
62,등촌9,등촌,9,9,서울특별시 강서구 공항대로 지하 529,37.550632,126.865689,37.550632,126.865689,서울특별시,양천구,목3동
63,염창9,염창,9,9,서울특별시 강서구 공항대로 지하 631,37.546936,126.874916,37.546936,126.874916,서울특별시,양천구,목2동
64,방화5,방화,5,5,서울특별시 강서구 금낭화로 지하 132,37.577446,126.812741,37.577446,126.812741,서울특별시,강서구,방화3동
65,마곡나루9,마곡나루,9,9,서울특별시 강서구 마곡중앙5로 지하 2,37.567336,126.829497,37.567336,126.829497,서울특별시,강서구,가양1동
66,신방화9,신방화,9,9,서울특별시 강서구 방화대로 지하 301,37.567532,126.816601,37.567532,126.816601,서울특별시,강서구,방화1동
67,공항시장9,공항시장,9,9,서울특별시 강서구 방화동로 지하 30,37.563726,126.810678,37.563726,126.810678,서울특별시,강서구,공항동
68,개화산5,개화산,5,5,서울특별시 강서구 양천로 22,37.572399,126.806171,37.572399,126.806171,서울특별시,강서구,방화2동
69,양천향교9,양천향교,9,9,서울특별시 강서구 양천로 지하 341,37.568381,126.841333,37.568381,126.841333,서울특별시,강서구,가양1동
70,가양9,가양,9,9,서울특별시 강서구 양천로 지하 485,37.561391,126.854456,37.561391,126.854456,서울특별시,강서구,등촌3동
71,증미9,증미,9,9,서울특별시 강서구 양천로 지하 560,37.557402,126.861939,37.557402,126.861939,서울특별시,강서구,등촌1동
72,김포공항5,김포공항,5,5,서울특별시 강서구 하늘길 지하 77,37.562434,126.801058,37.562434,126.801058,서울특별시,강서구,방화2동
73,김포공항A,김포공항,A,공항,서울특별시 강서구 하늘길 지하 77,37.562434,126.801058,37.562434,126.801058,서울특별시,강서구,방화2동
74,김포공항9,김포공항,9,9,서울특별시 강서구 하늘길 지하 77,37.562434,126.801058,37.562434,126.801058,서울특별시,강서구,방화2동
75,화곡5,화곡,5,5,서울특별시 강서구 화곡로 지하 168,37.541513,126.840461,37.541513,126.840461,서울특별시,강서구,화곡1동
76,신림2,신림,2,2,서울특별시 관악구 남부순환로 지하 1614,37.484201,126.929715,37.484201,126.929715,서울특별시,관악구,신림동
77,봉천2,봉천,2,2,서울특별시 관악구 남부순환로 지하 1721,37.482362,126.941892,37.482362,126.941892,서울특별시,관악구,은천동
78,서울대입구2,서울대입구,2,2,서울특별시 관악구 남부순환로 지하 1822,37.481247,126.952739,37.481247,126.952739,서울특별시,관악구,행운동
79,낙성대2,낙성대,2,2,서울특별시 관악구 남부순환로 지하 1928,37.47693,126.963693,37.47693,126.963693,서울특별시,관악구,행운동
80,강변2,강변,2,2,서울특별시 광진구 강변역로 53,37.535095,127.094681,37.535095,127.094681,서울특별시,광진구,구의3동
81,뚝섬유원지7,뚝섬유원지,7,7,서울특별시 광진구 능동로 10,37.53154,127.066704,37.53154,127.066704,서울특별시,광진구,자양3동
82,건대입구7,건대입구,7,7,서울특별시 광진구 능동로 지하 110,37.540693,127.07023,37.540693,127.07023,서울특별시,광진구,화양동
83,어린이대공원7,어린이대공원,7,7,서울특별시 광진구 능동로 지하 210,37.548014,127.074658,37.548014,127.074658,서울특별시,광진구,능동
84,중곡7,중곡,7,7,서울특별시 광진구 능동로 지하 417,37.565923,127.08432,37.565923,127.08432,서울특별시,광진구,중곡3동
85,건대입구2,건대입구,2,2,서울특별시 광진구 아차산로 243,37.540693,127.07023,37.540693,127.07023,서울특별시,광진구,화양동
86,구의2,구의,2,2,서울특별시 광진구 아차산로 384-1,37.537077,127.085916,37.537077,127.085916,서울특별시,광진구,자양2동
87,광나루5,광나루,5,5,서울특별시 광진구 아차산로 지하 571,37.545303,127.10357,37.545303,127.10357,서울특별시,광진구,광장동
88,군자5,군자,5,5,서울특별시 광진구 천호대로 지하 550,37.557121,127.079542,37.557121,127.079542,서울특별시,광진구,능동
89,군자7,군자,7,7,서울특별시 광진구 천호대로 지하 550,37.557121,127.079542,37.557121,127.079542,서울특별시,광진구,능동
90,아차산5,아차산,5,5,서울특별시 광진구 천호대로 지하 657,37.551691,127.089761,37.551691,127.089761,서울특별시,광진구,구의2동
91,오류동1,오류동,1,1,서울특별시 구로구 경인로20길 13,37.494526,126.845365,37.494526,126.845365,서울특별시,구로구,오류2동
92,온수7,온수,7,7,서울특별시 구로구 경인로3길 지하 64,37.492258,126.823388,37.492258,126.823388,서울특별시,구로구,수궁동
93,개봉1,개봉,1,1,서울특별시 구로구 경인로40길 47,37.494594,126.85868,37.494594,126.85868,서울특별시,구로구,개봉1동
94,도림천2,도림천,2,2,서울특별시 구로구 경인로67길 160,37.514287,126.882768,37.514287,126.882768,서울특별시,구로구,신도림동
95,구로1,구로,1,1,서울특별시 구로구 구로중앙로 174,37.503039,126.881966,37.503039,126.881966,서울특별시,구로구,구로5동
96,구일1,구일,1,1,서울특별시 구로구 구일로 133,37.496756,126.870793,37.496756,126.870793,서울특별시,구로구,구로1동
97,남구로7,남구로,7,7,서울특별시 구로구 도림로 지하 7,37.486056,126.887249,37.486056,126.887249,서울특별시,구로구,구로3동
98,대림2,대림,2,2,서울특별시 구로구 도림천로 351,37.49297,126.895801,37.49297,126.895801,서울특별시,영등포구,대림3동
99,구로디지털단지2,구로디지털단지,2,2,서울특별시 구로구 도림천로 477,37.485266,126.901401,37.485266,126.901401,서울특별시,구로구,구로3동
100,온수1,온수,1,1,서울특별시 구로구 부일로 872,37.492258,126.823388,37.492258,126.823388,서울특별시,구로구,수궁동
101,신도림1,신도림,1,1,서울특별시 구로구 새말로 117-21,37.508725,126.891295,37.508725,126.891295,서울특별시,구로구,신도림동
102,신도림2,신도림,2,2,서울특별시 구로구 새말로 지하 117-21,37.508725,126.891295,37.508725,126.891295,서울특별시,구로구,신도림동
103,천왕7,천왕,7,7,서울특별시 구로구 오리로 지하 1154,37.486637,126.838713,37.486637,126.838713,서울특별시,구로구,오류2동
104,독산1,독산,1,1,서울특별시 금천구 벚꽃로 115,37.466613,126.889249,37.466613,126.889249,서울특별시,금천구,가산동
105,가산디지털단지1,가산디지털단지,1,1,서울특별시 금천구 벚꽃로 309,37.481072,126.882343,37.481072,126.882343,서울특별시,금천구,가산동
106,가산디지털단지7,가산디지털단지,7,7,서울특별시 금천구 벚꽃로 309,37.481072,126.882343,37.481072,126.882343,서울특별시,금천구,가산동
107,금천구청1,금천구청,1,1,서울특별시 금천구 시흥대로63길 91,37.455626,126.89398,37.455626,126.89398,서울특별시,금천구,시흥1동
108,공릉7,공릉,7,7,서울특별시 노원구 동일로 지하 1074,37.625742,127.072896,37.625742,127.072896,서울특별시,노원구,공릉1동
109,하계7,하계,7,7,서울특별시 노원구 동일로 지하 1196,37.636352,127.06799,37.636352,127.06799,서울특별시,노원구,하계1동
110,중계7,중계,7,7,서울특별시 노원구 동일로 지하 1308-1,37.644583,127.064303,37.644583,127.064303,서울특별시,노원구,중계2.3동
111,노원7,노원,7,7,서울특별시 노원구 동일로 지하 1409,37.655128,127.061368,37.655128,127.061368,서울특별시,노원구,상계2동
112,마들7,마들,7,7,서울특별시 노원구 동일로 지하 1530-1,37.66494,127.057675,37.66494,127.057675,서울특별시,노원구,상계9동
113,수락산7,수락산,7,7,서울특별시 노원구 동일로 지하 1662,37.67785,127.055315,37.67785,127.055315,서울특별시,노원구,상계1동
114,태릉입구6,태릉입구,6,6,서울특별시 노원구 동일로 지하 992-1,37.617983,127.07512,37.617983,127.07512,서울특별시,노원구,공릉1동
